time,small_generation_unit_solar,solar_water_heater_and_air_source_heat_pump
2001,15,554
2002,19,1398
2003,98,1475
2004,152,1800
2005,254,2729
2006,200,4728
2007,828,9157
2008,2036,21208
2009,8429,42120
2010,35676,27733
2011,60214,26446
2012,66204,21594
2013,33332,19608
2014,40061,20613 
2015,31354,23087 
2016,26740,27702
2017,31358,29126
2018,47216,32085
2019,61735,31520
2020,73850,36434
2021,34777,16377
